taskId,project,usecase,priority,promptId,status,requester,createdAt,dueDate,assetPath,reviewStatus,rejectedReason,notes
IMG-20260423-001,partnerclass,banner,P1,PC-BANNER-001,planned,,2026-04-23,,,,,"파트너클래스 강사 모집 배너 파일럿"
IMG-20260423-002,partnerclass,hero,P1,PC-HERO-001,planned,,2026-04-23,,,,,"클래스 상세 히어로 파일럿"
IMG-20260423-003,makeshop-skin,product-hero,P1,SHOP-HERO-001,planned,,2026-04-23,,,,,"재료/키트 상세 히어로 파일럿"
IMG-20260423-004,makeshop-skin,infographic,P2,SHOP-INFO-001,planned,,2026-04-23,,,,,"구성품 비교 인포그래픽"
IMG-20260423-005,partnerclass,association,P2,ASSOC-001,planned,,2026-04-23,,,,,"협회 제안 카드"
IMG-20260423-006,docs,education,P2,EDU-001,planned,,2026-04-23,,,,,"교육자료 단계별 가이드"
IMG-20260423-007,brand-story,hero,P1,BS-HERO-001,planned,,2026-04-23,,,,,"브랜드스토리 히어로 배경 고도화 3안"
IMG-20260423-008,brand-story,section,P1,BS-PHILOSOPHY-001,planned,,2026-04-23,,,,,"철학 섹션 압화 연구 무드컷 3안"
IMG-20260423-009,brand-story,timeline,P1,BS-ARCHIVE-001,planned,,2026-04-23,,,,,"헤리티지 타임라인 아카이브 배경 3안"
IMG-20260423-010,brand-story,section,P2,BS-INNOVATION-001,planned,,2026-04-23,,,,,"혁신 섹션 기술/연구 이미지 3안"
IMG-20260423-011,brand-story,section,P2,BS-EDUCATION-001,planned,,2026-04-23,,,,,"교육 섹션 따뜻한 무드컷 3안"
IMG-20260423-012,brand-story,gallery,P2,BS-GALLERY-001,planned,,2026-04-23,,,,,"갤러리 썸네일 배경 통일 테스트"
IMG-20260423-013,brand-story,hero,P1,BS-HERO-001,planned,,2026-04-23,,,,,"운영 브랜드페이지 Hero 16:9/3:1 리디자인 3안"
IMG-20260423-014,brand-story,section,P1,BS-LEGACY-001,planned,,2026-04-23,,,,,"Legacy 엔딩 컷 workshop 반복 제거 3안"
IMG-20260423-015,brand-story,books,P2,BS-BOOKS-001,planned,,2026-04-23,,,,,"Publications 책 오브젝트 컷 3안"
