item_id,tax_year,category,source_name,document_name,period_start,period_end,required_level,status,folder_path,expected_filename,assigned_to,due_date,accountant_note,internal_note
TAX-2025-001,2025,기본정보,홈택스/정부24,사업자등록증명,2025-01-01,2025-12-31,필수,NOT_STARTED,01_기본정보,2025_정부24_사업자등록증명_연간.pdf,박서연님,2026-04-27,,사업자 기본정보 확인
TAX-2025-002,2025,기본정보,홈택스,2024년 종합소득세 신고서,2024-01-01,2024-12-31,필수,NOT_STARTED,01_기본정보,2024_홈택스_종합소득세신고서_연간.pdf,박서연님,2026-04-27,,전년도 신고 기준 확인
TAX-2025-003,2025,기본정보,위택스/지방세 포털,2024년 지방소득세 신고·납부내역,2024-01-01,2024-12-31,권장,NOT_STARTED,01_기본정보,2024_위택스_지방소득세신고납부내역_연간.pdf,박서연님,2026-04-27,세무사 요청 시 제출,
TAX-2025-004,2025,기본정보,은행,환급 계좌 통장사본 또는 계좌 메모,2025-01-01,2025-12-31,권장,NOT_STARTED,01_기본정보,2025_은행_환급계좌_통장사본.pdf,박서연님,2026-04-27,계좌 전체번호 노출 범위 확인,파일명에 계좌 전체번호 금지
TAX-2025-005,2025,소득자료,홈택스,지급명세서 전체,2025-01-01,2025-12-31,필수,NOT_STARTED,02_소득자료,2025_홈택스_지급명세서_연간.pdf,박서연님,2026-04-28,근로·사업·기타·퇴직·일용 포함 범위 확인,홈택스에서 전체 항목 조회
TAX-2025-006,2025,소득자료,홈택스,간이지급명세서 확인본,2025-01-01,2025-12-31,권장,NOT_STARTED,02_소득자료,2025_홈택스_간이지급명세서_연간.pdf,박서연님,2026-04-28,제출 필요 여부 확인,
TAX-2025-007,2025,매출자료,홈택스,전자세금계산서 매출,2025-01-01,2025-12-31,필수,NOT_STARTED,03_매출자료,2025_홈택스_전자세금계산서_매출_연간.xlsx,박서연님,2026-04-29,,
TAX-2025-008,2025,매출자료,홈택스,전자계산서 매출,2025-01-01,2025-12-31,권장,NOT_STARTED,03_매출자료,2025_홈택스_전자계산서_매출_연간.xlsx,박서연님,2026-04-29,해당 여부 확인,
TAX-2025-009,2025,매출자료,홈택스,현금영수증 매출,2025-01-01,2025-12-31,필수,NOT_STARTED,03_매출자료,2025_홈택스_현금영수증_매출_연간.xlsx,박서연님,2026-04-29,,
TAX-2025-010,2025,매출자료,홈택스,신용카드·판매대행 매출자료,2025-01-01,2025-12-31,필수,NOT_STARTED,03_매출자료,2025_홈택스_신용카드판매대행_매출_연간.xlsx,박서연님,2026-04-29,홈택스 집계와 플랫폼 정산 차이 처리 기준 확인,
